time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-21T00:50:55.090Z,19.4185,-63.4023,10,4.4,mb,,106,1.395,0.64,us,us2000gabr,2018-10-04T14:15:23.040Z,"137km NNW of The Valley, Anguilla",earthquake,8.6,2,0.268,4,reviewed,us,us
2018-07-18T05:22:28.670Z,19.5942,-69.9202,10,4.3,mb,,65,1.428,1.05,us,us2000g7pw,2018-10-04T14:15:30.040Z,"4km NNW of La Entrada, Dominican Republic",earthquake,5.3,1.9,0.201,7,reviewed,us,us
2018-06-21T00:13:52.650Z,18.8949,-69.8439,89.76,4.4,mb,,33,0.434,0.7,us,us1000ewz1,2019-09-24T05:07:08.290Z,"7km SW of Sabana Grande de Boya, Dominican Republic",earthquake,4.6,5,0.059,84,reviewed,us,us
2018-06-03T09:13:21.510Z,18.9965,-69.6349,83.97,4.7,mb,,29,1.281,0.92,us,us1000ehsg,2018-09-23T06:04:38.273Z,"13km ENE of Gonzalo, Dominican Republic",earthquake,6,7.2,0.04,186,reviewed,us,us
2018-05-09T21:07:47.550Z,17.5652,-83.3611,10,4.1,mb,,57,5.132,0.92,us,us1000e1m1,2018-08-08T15:19:55.040Z,"62km ENE of Great Swan Island, Honduras",earthquake,8.2,2,0.145,13,reviewed,us,us
2018-04-25T11:23:52.430Z,20.1828,-65.019,10,4.3,mb,,80,2.118,0.97,us,us1000dw00,2018-07-25T21:36:39.040Z,"200km NNW of Road Town, British Virgin Islands",earthquake,5.9,1.8,0.094,32,reviewed,us,us
2018-04-22T02:34:05.250Z,16.9079,-62.8881,167.11,4.2,mb,,111,0.588,0.39,us,us1000dspr,2018-07-17T02:05:35.040Z,"38km SW of Charlestown, Saint Kitts and Nevis",earthquake,8,8,0.07,57,reviewed,us,us
2018-04-17T20:26:51.940Z,17.0679,-61.7422,20.95,4.7,mb,,54,0.638,0.84,us,us2000e1rz,2018-07-17T02:05:29.040Z,"4km SE of Parham, Antigua and Barbuda",earthquake,4.2,4.8,0.056,97,reviewed,us,us
2018-04-12T00:45:51.940Z,19.7163,-73.1292,10,4,mb,,54,1.423,0.76,us,us2000dyja,2018-07-07T02:25:19.040Z,"9km NNE of Petite Anse, Haiti",earthquake,4.5,2,0.298,3,reviewed,us,us
2018-04-11T15:13:42.650Z,19.2013,-64.6225,83,4.24,md,17,219,1.6205,0.79,pr,pr2018101015,2018-07-07T02:25:18.040Z,"83km N of Road Town, British Virgin Islands",earthquake,7.45,15.5,0.19,11,reviewed,pr,pr
2018-04-11T01:03:50.190Z,19.069,-64.511,40.72,4.4,mb,,97,1.568,1.29,us,us2000dxuf,2018-07-07T02:25:17.040Z,"73km N of Road Town, British Virgin Islands",earthquake,5.8,9.2,0.103,27,reviewed,us,us
2018-04-11T01:00:25.750Z,19.1754,-64.6505,43.16,4.5,mb,,42,1.532,0.96,us,us2000dxub,2018-07-07T02:25:17.040Z,"84km N of Road Town, British Virgin Islands",earthquake,5.7,7.9,0.065,69,reviewed,us,us
2018-04-09T04:32:22.660Z,17.5155,-83.5044,10,4.9,mb,,33,4.998,0.95,us,us2000dwr6,2018-07-07T02:25:14.040Z,"46km ENE of Great Swan Island, Honduras",earthquake,6.9,1.9,0.025,488,reviewed,us,us
2018-04-06T21:21:13.680Z,18.702,-64.6711,40.05,4.7,mwr,,20,1.249,0.69,us,us2000dvsj,2018-06-30T01:11:31.040Z,"32km N of Road Town, British Virgin Islands",earthquake,5.3,4.8,0.04,61,reviewed,us,us
2018-04-05T11:26:59.550Z,16.7577,-61.0358,37.56,4.9,mb,,91,0.439,0.68,us,us2000duxi,2018-06-30T01:11:29.040Z,"50km N of Grande Anse, Guadeloupe",earthquake,6.5,6.5,0.027,425,reviewed,us,us
2018-03-29T23:55:37.180Z,18.03,-68.1463,55,4.01,md,21,193,0.538,0.52,pr,pr2018088003,2018-06-22T21:32:15.040Z,"65km SE of Boca de Yuma, Dominican Republic",earthquake,1.98,3.43,0.43,16,reviewed,pr,pr
2018-03-23T07:41:20.510Z,18.5201,-69.0877,112.24,4.1,mb,,88,0.67,0.88,us,us1000d7v3,2018-06-19T01:35:49.040Z,"10km ESE of Ramon Santana, Dominican Republic",earthquake,8,4.9,0.158,11,reviewed,us,us
2018-03-15T11:13:30.690Z,18.7971,-64.6026,35,4.1,mwr,,163,1.35,1.09,us,us1000d4n9,2018-06-11T21:53:46.040Z,"42km N of Road Town, British Virgin Islands",earthquake,8,2,0.066,22,reviewed,us,us
2018-03-11T21:12:01.280Z,19.2293,-64.7448,10,4.12,md,22,213,1.5495,0.56,pr,pr2018070008,2018-06-08T05:12:21.040Z,"73km NNW of Road Town, British Virgin Islands",earthquake,2.77,2.97,0.09,15,reviewed,pr,pr
2018-03-06T17:54:30.100Z,19.2934,-65.264,42.1,4.5,mb,,89,1.249,0.86,us,us2000dd70,2018-06-08T05:12:12.040Z,"109km N of Culebra, Puerto Rico",earthquake,7,8.9,0.081,45,reviewed,us,us
